Model;Ablasyon;Head;Tune;Rock (F1);Paper (F1);Scissors (F1);None/Bg (F1)
EfficientNetV2B0;INDOOR;Standard;Standard;0.7572;0.8975;0.8571;0.7353
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;0.8485;0.8211;0.7839;0.7937
MobileNetV3Small;INDOOR;Standard;Standard;0.8708;0.8256;0.7710;0.7772
MobileNetV3Small;RATIO_1X;Standard;Standard;0.8571;0.8322;0.7757;0.7792
ResNet50;FULL;Standard;Progressive;0.7364;0.8889;0.8741;0.7444
MobileNetV3Small;INDOOR;Standard;Standard;0.8528;0.8387;0.7849;0.7673
ResNet50;RANDBG;Standard;Standard;0.7642;0.8705;0.8530;0.7557
EfficientNetV2B0;NO_ALPHA;Standard;Standard;0.7203;0.9059;0.8773;0.7353
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;0.8539;0.8014;0.7794;0.8021
EfficientNetV2B0;RATIO_1X;Standard;Standard;0.7288;0.9010;0.8679;0.7389
EfficientNetV2B0;NO_ALPHA;Standard;Standard;0.7203;0.8973;0.8764;0.7407
MobileNetV3Small;NO_SHIFT;Standard;Standard;0.8824;0.7985;0.7636;0.7895
EfficientNetV2B0;GAN;Standard;Standard;0.7417;0.8897;0.8636;0.7389
EfficientNetV2B0;FULL;Standard;Standard;0.7500;0.8990;0.8550;0.7299
MobileNetV3Small;REMBG_ONLY;Standard;Standard;0.8741;0.8132;0.7732;0.7732
EfficientNetV2B0;FULL;Spatial Pooling;Standard;0.7179;0.9085;0.8806;0.7246
ResNet50;REMBG_ONLY;Standard;Progressive;0.7521;0.8809;0.8582;0.7389
MobileNetV3Small;FULL;Standard;Standard;0.8782;0.7986;0.7687;0.7833
MobileNetV3Small;RANDBG;Standard;Standard;0.8708;0.8029;0.7664;0.7874
EfficientNetV2B0;FULL;Attention;Standard;0.7342;0.8935;0.8636;0.7353
MobileNetV3Small;RANDBG;Standard;Standard;0.8571;0.8266;0.7807;0.7614
ResNet50;INDOOR;Standard;Progressive;0.7288;0.8641;0.8777;0.7519
VGG16;INDOOR;Standard;Standard;0.7500;0.8741;0.8699;0.7264
EfficientNetV2B0;NO_ALPHA;Standard;Standard;0.7288;0.8897;0.8679;0.7335
VGG16;NO_ALPHA;Standard;Standard;0.7592;0.8782;0.8647;0.7177
EfficientNetV2B0;REMBG_ONLY;Standard;Standard;0.7654;0.8873;0.8417;0.7246
VGG16;STYLE_TRANSFER;Standard;Standard;0.7431;0.8824;0.8604;0.7317
VGG16;FULL;Standard;Standard;0.7064;0.9046;0.8806;0.7246
MobileNetV3Small;FULL;Standard;Standard;0.8539;0.8235;0.7597;0.7772
ResNet50;RANDBG;Standard;Progressive;0.7469;0.8592;0.8582;0.7500
EfficientNetV2B0;FULL;Standard;Standard;0.7179;0.8997;0.8647;0.7299
EfficientNetV2B0;RANDBG;Standard;Standard;0.7364;0.8997;0.8462;0.7282
MobileNetV3Small;STYLE_TRANSFER;Standard;Standard;0.8614;0.8043;0.7619;0.7812
EfficientNetV2B0;NO_SHIFT;Standard;Standard;0.7227;0.8912;0.8647;0.7299
ResNet50;INDOOR;Standard;Progressive;0.7342;0.8705;0.8696;0.7335
ResNet50;RANDBG;Standard;Progressive;0.7288;0.8754;0.8655;0.7353
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;0.7234;0.9091;0.8485;0.7229
MobileNetV3Small;REMBG_ONLY;Standard;Standard;0.8657;0.8000;0.7609;0.7772
MobileNetV3Small;NO_ALPHA;Standard;Standard;0.8441;0.8127;0.7687;0.7772
MobileNetV3Small;NO_SHIFT;Standard;Standard;0.8582;0.7744;0.7698;0.8000
VGG16;NO_ALPHA;Standard;Standard;0.7266;0.8824;0.8593;0.7335
VGG16;NO_ALPHA;Standard;Standard;0.7419;0.8832;0.8550;0.7212
VGG16;STYLE_TRANSFER;Standard;Standard;0.7480;0.8708;0.8517;0.7282
EfficientNetV2B0;INDOOR;Standard;Standard;0.7234;0.8958;0.8517;0.7246
MobileNetV3Small;FULL;Standard;Standard;0.8614;0.8156;0.7549;0.7614
MobileNetV3Small;REMBG_ONLY;Standard;Standard;0.8397;0.8231;0.7757;0.7538
EfficientNetV2B0;NO_SHIFT;Standard;Standard;0.7203;0.8881;0.8528;0.7264
EfficientNetV2B0;GAN;Standard;Standard;0.7203;0.8873;0.8593;0.7194
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;0.6957;0.9017;0.8561;0.7299
EfficientNetV2B0;RATIO_1X;Standard;Standard;0.7124;0.8958;0.8550;0.7194
EfficientNetV2B0;FULL;Standard;Standard;0.7069;0.8997;0.8550;0.7194
EfficientNetV2B0;INDOOR;Standard;Standard;0.7013;0.8973;0.8528;0.7282
MobileNetV3Small;FULL;Standard;Standard;0.8441;0.8000;0.7807;0.7538
VGG16;NO_SHIFT;Standard;Standard;0.7413;0.8571;0.8358;0.7371
VGG16;RATIO_1X;Standard;Standard;0.7287;0.8708;0.8517;0.7160
VGG16;FULL;Standard;Standard;0.6920;0.8905;0.8679;0.7075
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;0.7069;0.9014;0.8417;0.7059
VGG16;GAN;Standard;Standard;0.6838;0.8961;0.8571;0.7126
EfficientNetV2B0;FULL;Spatial Pooling;Standard;0.6726;0.8912;0.8731;0.7126
VGG16;GAN;Standard;Standard;0.6979;0.8754;0.8561;0.7143
VGG16;RANDBG;Standard;Standard;0.7059;0.8782;0.8528;0.7042
EfficientNetV2B0;RANDBG;Standard;Standard;0.6784;0.8944;0.8550;0.7026
VGG16;RATIO_1X;Standard;Standard;0.7040;0.8841;0.8235;0.7160
EfficientNetV2B0;FULL;Spatial Pooling;Standard;0.6607;0.9046;0.8604;0.7009
VGG16;INDOOR;Standard;Standard;0.6781;0.8809;0.8593;0.7026
EfficientNetV2B0;FULL;Spatial Pooling;Standard;0.6425;0.8966;0.8689;0.7109
VGG16;NO_ALPHA;Standard;Standard;0.7092;0.8625;0.8308;0.7143
VGG16;NO_SHIFT;Standard;Standard;0.6894;0.8741;0.8506;0.6912
EfficientNetV2B0;FULL;Attention;Standard;0.6547;0.9021;0.8462;0.6961
VGG16;NO_ALPHA;Standard;Standard;0.6783;0.8718;0.8476;0.7009
EfficientNetV2B0;STYLE_TRANSFER;Standard;Standard;0.6518;0.8927;0.8473;0.7059
VGG16;REMBG_ONLY;Standard;Standard;0.6957;0.8529;0.8295;0.7194
VGG16;NO_SHIFT;Standard;Standard;0.6923;0.8550;0.8473;0.6897
EfficientNetV2B0;FULL;Spatial Pooling;Standard;0.6486;0.8936;0.8506;0.6897
VGG16;RANDBG;Standard;Standard;0.6695;0.8582;0.8593;0.6881
EfficientNetV2B0;FULL;Standard;Standard;0.6175;0.8975;0.8679;0.6897
VGG16;RATIO_1X;Standard;Standard;0.6273;0.8832;0.8764;0.6834
EfficientNetV2B0;RANDBG;Standard;Progressive;0.8000;0.7638;0.7534;0.7519
VGG16;INDOOR;Standard;Standard;0.6667;0.8667;0.8365;0.6928
