family,model,ablation_a,ablation_b,head,tune,mean_a,mean_b,delta,wilcoxon_stat,wilcoxon_p_raw,t_stat,t_p_raw,shapiro_p_diff,cohen_d_uncorrected,hedges_g,cliffs_delta,n_pairs,p_raw,p_bh_fdr,sig_q05,model_a,model_b,ablation,mean_standard,mean_progressive,head_a,head_b,mean_standard_head,mean_other_head
A_synth_vs_no_synth,MobileNetV3Small,STYLE_TRANSFER,NO_SYNTH,standard,standard,0.9164175290660534,0.41806567011626417,0.4983518589497893,0.0,0.0625,9.132669432309191,0.0007976647756557883,0.4759986346622927,4.084253933335553,3.2674031466684426,1.0,5,0.0007976647756557883,0.0008166567941237832,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,REMBG_ONLY,NO_SYNTH,standard,standard,0.9485371151143479,0.41806567011626417,0.5304714449980837,0.0,0.0625,11.210404545819964,0.00036055541494865837,0.469173211020078,5.013445323945219,4.010756259156175,1.0,5,0.00036055541494865837,0.00038759707106980775,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,NO_ALPHA,NO_SYNTH,standard,standard,0.9155998466845535,0.41806567011626417,0.49753417656828935,0.0,0.0625,15.807171808866453,9.359122985182727e-05,0.3767202551048953,7.069182139328741,5.655345711462993,1.0,5,9.359122985182727e-05,0.00011178952454523813,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,NO_SHIFT,NO_SYNTH,standard,standard,0.884706784208509,0.41806567011626417,0.46664111409224485,0.0,0.0625,10.797958955861516,0.0004172073413265983,0.19371649305141364,4.8289940487118,3.86319523896944,1.0,5,0.0004172073413265983,0.000437558918952286,True,,,,,,,,,
A_synth_vs_no_synth,MobileNetV3Small,RATIO_1X,NO_SYNTH,standard,standard,0.8847834419317746,0.41806567011626417,0.46671777181551044,0.0,0.0625,7.966628098857753,0.0013451095560591184,0.11716361453762147,3.5627843961011707,2.8502275168809366,1.0,5,0.0013451095560591184,0.0013451095560591184,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,FULL,NO_SYNTH,standard,standard,0.9992845279161875,0.5278650824070525,0.47141944550913495,0.0,0.0625,17.511185454768647,6.244614353470794e-05,0.7829467624648423,7.831240208693652,6.264992166954922,1.0,5,6.244614353470794e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,INDOOR,NO_SYNTH,standard,standard,0.9993100804906094,0.5278650824070525,0.4714449980835569,0.0,0.0625,17.694067020495073,5.993064334562639e-05,0.7621428050597133,7.913027331252829,6.330421865002264,1.0,5,5.993064334562639e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,RANDBG,NO_SYNTH,standard,standard,0.9997189216813593,0.5278650824070525,0.4718538392743068,0.0,0.0625,17.58753609470264,6.138024268263764e-05,0.7644161156810301,7.865385252897256,6.292308202317805,1.0,5,6.138024268263764e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,GAN,NO_SYNTH,standard,standard,0.9992845279161877,0.5278650824070525,0.47141944550913517,0.0,0.0625,17.609243226603105,6.108134901962717e-05,0.7802664302021194,7.8750929774024545,6.300074381921964,1.0,5,6.108134901962717e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,STYLE_TRANSFER,NO_SYNTH,standard,standard,0.9980835569183595,0.5278650824070525,0.47021847451130694,0.0,0.0625,17.628980377902117,6.081115500230406e-05,0.7709151623952595,7.883919699799812,6.30713575983985,1.0,5,6.081115500230406e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,REMBG_ONLY,NO_SYNTH,standard,standard,0.9987223712789062,0.5278650824070525,0.47085728887185363,0.0,0.0625,17.585016764207538,6.141505033291135e-05,0.7724064263730266,7.864258574048291,6.291406859238633,1.0,5,6.141505033291135e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,NO_ALPHA,NO_SYNTH,standard,standard,0.9979557940462502,0.5278650824070525,0.4700907116391977,0.0,0.0625,17.53872680542935,6.205900741663192e-05,0.7810972402357598,7.843557075147549,6.274845660118039,1.0,5,6.205900741663192e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,NO_SHIFT,NO_SYNTH,standard,standard,0.9985179506835313,0.5278650824070525,0.4706528682764788,0.0,0.0625,17.625324881820344,6.0861084680999184e-05,0.7762018541031571,7.8822849122537475,6.305827929802998,1.0,5,6.0861084680999184e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,ResNet50,RATIO_1X,NO_SYNTH,standard,standard,0.9980835569183595,0.5278650824070525,0.47021847451130694,0.0,0.0625,17.50287622372239,6.256353370187546e-05,0.7701956208546592,7.827524207601615,6.262019366081293,1.0,5,6.256353370187546e-05,7.912446909354839e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,FULL,NO_SYNTH,standard,standard,0.9992845279161877,0.4569822409607768,0.5423022869554109,0.0,0.0625,23.16427275100808,2.0582586651144703e-05,0.722856728727025,10.359377704120027,8.287502163296022,1.0,5,2.0582586651144703e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,INDOOR,NO_SYNTH,standard,standard,0.9995656062348282,0.4569822409607768,0.5425833652740514,0.0,0.0625,23.09949891733543,2.0812981964262697e-05,0.7424600529327181,10.330409965068965,8.264327972055172,1.0,5,2.0812981964262697e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,RANDBG,NO_SYNTH,standard,standard,0.9996422639580939,0.4569822409607768,0.5426600229973171,0.0,0.0625,23.085448128949363,2.0863383775978512e-05,0.7363680571158122,10.32412626147522,8.259301009180176,1.0,5,2.0863383775978512e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,GAN,NO_SYNTH,standard,standard,0.9991056598952346,0.4569822409607768,0.5421234189344578,0.0,0.0625,23.014711047253957,2.1119453238424238e-05,0.7357045883380042,10.292491676835045,8.233993341468036,1.0,5,2.1119453238424238e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,STYLE_TRANSFER,NO_SYNTH,standard,standard,0.9980324517695159,0.4569822409607768,0.5410502108087392,0.0,0.0625,23.018263487834737,2.110650007967945e-05,0.7340545804240244,10.294080376559975,8.23526430124798,1.0,5,2.110650007967945e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,REMBG_ONLY,NO_SYNTH,standard,standard,0.9984412929602657,0.4569822409607768,0.541459051999489,0.0,0.0625,22.975775667287625,2.126207471425025e-05,0.7365144793291731,10.275079245568145,8.220063396454517,1.0,5,2.126207471425025e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,NO_ALPHA,NO_SYNTH,standard,standard,0.9984157403858438,0.4569822409607768,0.541433499425067,0.0,0.0625,23.15546185383564,2.061373853984472e-05,0.7436144971870656,10.355437351115958,8.284349880892767,1.0,5,2.061373853984472e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,NO_SHIFT,NO_SYNTH,standard,standard,0.9982113197904688,0.4569822409607768,0.5412290788296921,0.0,0.0625,23.1755211503961,2.0542902069611897e-05,0.7306548965850055,10.364408141253962,8.29152651300317,1.0,5,2.0542902069611897e-05,6.500773952689408e-05,True,,,,,,,,,
A_synth_vs_no_synth,VGG16,RATIO_1X,NO_SYNTH,standard,standard,0.9982368723648907,0.4569822409607768,0.5412546314041139,0.0,0.0625,22.96178406319954,2.131361992414647e-05,0.7425231191162908,10.2688220099971,8.21505760799768,1.0,5,2.131361992414647e-05,6.500773952689408e-05,True,,,,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9996167113836719,0.9982879775137345,0.0013287338699373707,0.0,0.0625,5.038816464360218,0.007288132114501001,0.24106311993319507,2.2534272280909184,1.8027417824727348,1.0,5,0.007288132114501001,0.014407618504117384,True,DenseNet121,EfficientNetV2B0,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9996167113836719,0.98349303692347,0.01612367446020191,0.0,0.0625,54.10780361246312,6.984307139426584e-07,0.4211496535164326,24.19774539813525,19.358196318508202,1.0,5,6.984307139426584e-07,1.746076784856646e-06,True,DenseNet121,MobileNetV3Small,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9996167113836719,0.9992845279161875,0.00033218346748442595,3.0,0.625,0.8992288030259927,0.41937041639708916,0.8867416414823097,0.4021473461783776,0.3217178769427021,0.4,5,0.41937041639708916,0.46596712933009904,False,DenseNet121,ResNet50,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9996167113836719,0.9992845279161877,0.0003321834674842039,6.0,0.8125,0.978522908343557,0.38322091325774543,0.11451421751197038,0.4376087481193979,0.35008699849551833,-0.2,5,0.38322091325774543,0.46596712933009904,False,DenseNet121,VGG16,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9982879775137345,0.98349303692347,0.014794940590264538,0.0,0.0625,134.61476566528867,1.826504281635767e-08,0.927636423349763,60.20155336055804,48.161242688446436,1.0,5,1.826504281635767e-08,1.826504281635767e-07,True,EfficientNetV2B0,MobileNetV3Small,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9982879775137345,0.9992845279161875,-0.0009965504024529448,0.0,0.0625,-3.1478238178580287,0.03458632205609168,0.4676915720744556,-1.4077496075846936,-1.126199686067755,-1.0,5,0.03458632205609168,0.049409031508702406,True,EfficientNetV2B0,ResNet50,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9982879775137345,0.9992845279161877,-0.0009965504024531668,0.0,0.0625,-4.800568148193855,0.00864457110247043,0.8258283869524611,-2.1468793419963488,-1.7175034735970791,-1.0,5,0.00864457110247043,0.014407618504117384,True,EfficientNetV2B0,VGG16,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.98349303692347,0.9992845279161875,-0.015791490992717483,0.0,0.0625,-63.74183301880303,3.628614203713531e-07,0.473042447545267,-28.506214328096842,-22.804971462477475,-1.0,5,3.628614203713531e-07,1.2095380679045102e-06,True,MobileNetV3Small,ResNet50,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.98349303692347,0.9992845279161877,-0.015791490992717705,0.0,0.0625,-75.78402236034444,1.8169236768259597e-07,0.01836147540692933,-33.89164512121884,-27.113316096975076,-1.0,5,1.8169236768259597e-07,9.084618384129798e-07,True,MobileNetV3Small,VGG16,FULL,,,,,,
B_backbone_pairwise_FULL,,,,standard,standard,0.9992845279161875,0.9992845279161877,-2.220446049250313e-16,7.0,1.0,0.0,1.0,0.19627672533426943,0.0,0.0,0.2,5,1.0,1.0,False,ResNet50,VGG16,FULL,,,,,,
C_tune_standard_vs_progressive,DenseNet121,,,standard,,,,0.0018142327839530958,0.0,0.0625,21.407305465024642,2.8158638569233878e-05,0.7772534037368544,9.57363804697957,7.658910437583656,1.0,5,2.8158638569233878e-05,6.335693678077622e-05,True,,,FULL,0.9996167113836719,0.9978024785997188,,,,
C_tune_standard_vs_progressive,DenseNet121,,,standard,,,,0.0016098121885781413,0.0,0.0625,12.238201865702342,0.0002559721930397471,0.685295513180133,5.473090258815037,4.37847220705203,1.0,5,0.0002559721930397471,0.0005119443860794942,True,,,INDOOR,0.9996422639580939,0.9980324517695157,,,,
C_tune_standard_vs_progressive,DenseNet121,,,standard,,,,0.0010221029768749945,0.0,0.0625,3.442651863295983,0.02623003755816387,0.45982632412426944,1.5396007178392261,1.231680574271381,1.0,5,0.02623003755816387,0.03631851354207305,True,,,GAN,0.9986457135556408,0.9976236105787658,,,,
