config,n_folds,n_folds_complete,acc_mean,acc_std,acc_median,acc_iqr_lo,acc_iqr_hi,acc_ci95_lo,acc_ci95_hi,macro_f1_mean,macro_f1_std,model,ablation,head,tune
MobileNetV3Small|INDOOR|standard|progressive,5,True,0.8267535454197009,0.006236215593134411,0.828158937012904,0.8234317107448575,0.8308419573272007,0.821540820237639,0.8313785613900601,0.825669501547031,0.006439255879575269,MobileNetV3Small,INDOOR,standard,progressive
MobileNetV3Small|INDOOR|standard|standard,5,True,0.9866104510029385,0.0013860946830321096,0.986329372684298,0.9856905583237512,0.9874792385332822,0.9855627954516418,0.9877347642775011,0.9866168604408404,0.0013840364912022433,MobileNetV3Small,INDOOR,standard,standard
MobileNetV3Small|NO_ALPHA|standard|standard,5,True,0.9155998466845535,0.09023476594572609,0.9808355691835952,0.8201098760700141,0.9812188577999232,0.8483454708061837,0.9816021464162514,0.9150825154048825,0.09093695655115419,MobileNetV3Small,NO_ALPHA,standard,standard
MobileNetV3Small|NO_SHIFT|standard|standard,5,True,0.884706784208509,0.08901563973377095,0.8234317107448575,0.8195988245815766,0.9817299092883608,0.8189855627954516,0.9504280056215663,0.8838876436421245,0.08977713050652211,MobileNetV3Small,NO_SHIFT,standard,standard
MobileNetV3Small|NO_SYNTH|standard|standard,5,True,0.41806567011626417,0.04944145828094035,0.4308164047527788,0.4152293343554363,0.4507474128018398,0.37419189983390827,0.4498786252714961,0.3674429729407881,0.04601026001545704,MobileNetV3Small,NO_SYNTH,standard,standard
MobileNetV3Small|RANDBG|standard|progressive,5,True,0.8262680465056855,0.007762264812445967,0.8275201226523572,0.8249648652101699,0.8318640603040757,0.8195988245815767,0.8315574294110132,0.8250583272889045,0.00748869473481229,MobileNetV3Small,RANDBG,standard,progressive
MobileNetV3Small|RANDBG|standard|standard,5,True,0.9867893190238917,0.00026493473046285967,0.9868404241727354,0.9865848984285168,0.9869681870448448,0.9865848984285167,0.9869937396192666,0.9867986320786791,0.0002664062080533062,MobileNetV3Small,RANDBG,standard,standard
MobileNetV3Small|RATIO_1X|standard|standard,5,True,0.8847834419317746,0.08834275557246697,0.8244538137217324,0.8241982879775137,0.980707806311486,0.8195477194327327,0.9502491376006132,0.8838565324270895,0.0891595077617964,MobileNetV3Small,RATIO_1X,standard,standard
MobileNetV3Small|REMBG_ONLY|standard|standard,5,True,0.9485371151143479,0.07700781392672182,0.982879775137345,0.9823687236489076,0.9832630637536732,0.8796218218985562,0.9832375111792514,0.9481698690745134,0.07782172054313866,MobileNetV3Small,REMBG_ONLY,standard,standard
MobileNetV3Small|STYLE_TRANSFER|standard|standard,5,True,0.9164175290660534,0.09040856883910478,0.9813466206720328,0.821131979046889,0.9819854350325796,0.8488565222946212,0.9826242493931264,0.9155529910082334,0.0915974475361105,MobileNetV3Small,STYLE_TRANSFER,standard,standard
ResNet50|FULL|standard|progressive,5,True,0.9992334227673438,0.00012776287210941595,0.9992334227673438,0.9991056598952344,0.9993611856394532,0.9991312124696563,0.9993356330650313,0.9992316852560919,0.00012774073253728655,ResNet50,FULL,standard,progressive
ResNet50|FULL|standard|standard,5,True,0.9992845279161875,0.0005612848508110144,0.9992334227673438,0.9991056598952344,0.9997444742557812,0.9988501341510156,0.9996933691069374,0.9992838830791125,0.0005619673191699987,ResNet50,FULL,standard,standard
ResNet50|GAN|standard|progressive,5,True,0.9991312124696563,0.0002099358211978128,0.9992334227673438,0.9989778970231252,0.9992334227673438,0.9989523444487032,0.9992845279161877,0.9991301071353904,0.0002103814129430698,ResNet50,GAN,standard,progressive
ResNet50|GAN|standard|standard,5,True,0.9992845279161877,0.0004294809330259336,0.9993611856394532,0.9989778970231252,0.999616711383672,0.9989523444487032,0.9996167113836719,0.9992838794890613,0.00042991041649719007,ResNet50,GAN,standard,standard
ResNet50|INDOOR|standard|progressive,5,True,0.9991312124696563,0.0001399572141318279,0.9992334227673438,0.9989778970231252,0.9992334227673438,0.9990290021719689,0.9992334227673438,0.9991295558481544,0.0001398870543036121,ResNet50,INDOOR,standard,progressive
ResNet50|INDOOR|standard|standard,5,True,0.9993100804906094,0.0005314075467762152,0.999616711383672,0.9991056598952344,0.999616711383672,0.9988501341510156,0.9996678165325157,0.9993091993091113,0.0005324312850012231,ResNet50,INDOOR,standard,standard
ResNet50|NO_ALPHA|standard|standard,5,True,0.9979557940462502,0.0002856864670371543,0.99795579404625,0.9978280311741408,0.9980835569183596,0.9977258208764532,0.9981857672160469,0.9979547284696085,0.00028541357282949796,ResNet50,NO_ALPHA,standard,standard
ResNet50|NO_SHIFT|standard|standard,5,True,0.9985179506835313,0.00019376198911597216,0.9984668455346876,0.9983390826625782,0.9987223712789064,0.9983646352370001,0.9986712661300625,0.9985170498120157,0.00019346162561729364,ResNet50,NO_SHIFT,standard,standard
ResNet50|NO_SYNTH|standard|standard,5,True,0.5278650824070525,0.059892762531126915,0.5360930113708956,0.4866487798645713,0.5727609556662834,0.48156381755461863,0.5740641369617989,0.4707613780163985,0.054371312118730905,ResNet50,NO_SYNTH,standard,standard
ResNet50|RANDBG|standard|progressive,5,True,0.9995656062348282,0.00019376198911586967,0.999616711383672,0.9993611856394532,0.9997444742557812,0.999412290788297,0.9997189216813593,0.9995649494249552,0.00019381728752747103,ResNet50,RANDBG,standard,progressive
ResNet50|RANDBG|standard|standard,5,True,0.9997189216813593,0.00035452758210075154,0.9998722371278906,0.9997444742557812,0.9998722371278906,0.9994122907882967,0.9999233422767343,0.9997184857010749,0.0003551242208184888,ResNet50,RANDBG,standard,standard
ResNet50|RATIO_1X|standard|standard,5,True,0.9980835569183595,0.0006388143605468577,0.99795579404625,0.997572505429922,0.9984668455346876,0.9975980580043439,0.998594608406797,0.9980823486279038,0.0006390584979837519,ResNet50,RATIO_1X,standard,standard
ResNet50|REMBG_ONLY|standard|standard,5,True,0.9987223712789062,0.000393791618945238,0.9987223712789064,0.9984668455346876,0.9991056598952344,0.9984157403858438,0.9990290021719688,0.9987209443403948,0.00039329398588787965,ResNet50,REMBG_ONLY,standard,standard
ResNet50|STYLE_TRANSFER|standard|standard,5,True,0.9980835569183595,0.0005713729340743582,0.9980835569183596,0.9978280311741408,0.9983390826625782,0.9976236105787658,0.998543503257953,0.9980821109547439,0.000571206122353306,ResNet50,STYLE_TRANSFER,standard,standard
