model,ablation,head,tune,fold,accuracy,macro_f1,weighted_f1
MobileNetV3Small,FULL,standard,progressive,2,0.8372301009326689,0.8363569595700626,0.8363546526150629
MobileNetV3Small,FULL,standard,progressive,3,0.83096972019931,0.8299370850334673,0.8299453282931907
MobileNetV3Small,FULL,standard,progressive,4,0.8181934329883735,0.8169841961824278,0.8170170960708963
MobileNetV3Small,FULL,standard,progressive,5,0.826370256803373,0.8253415332956577,0.8253356376189326
MobileNetV3Small,FULL,standard,standard,1,0.9833908266257826,0.9834021670100888,0.9833948155530005
MobileNetV3Small,FULL,standard,standard,2,0.983518589497892,0.9835242177959775,0.983519499025892
MobileNetV3Small,FULL,standard,standard,3,0.9842851667305481,0.9842957717853364,0.9842903836776205
MobileNetV3Small,FULL,standard,standard,4,0.983518589497892,0.983528167821864,0.9835234337028871
MobileNetV3Small,FULL,standard,standard,5,0.9827520122652357,0.9827519641134026,0.9827477267702398
MobileNetV3Small,GAN,standard,progressive,1,0.8238149993611856,0.8231414160701023,0.8231508113512245
MobileNetV3Small,GAN,standard,progressive,2,0.8322473489204038,0.8318180849913364,0.8318105193807965
MobileNetV3Small,GAN,standard,progressive,3,0.8308419573272007,0.8295461794491396,0.8295410407182136
MobileNetV3Small,GAN,standard,progressive,4,0.8261147310591542,0.8254904582993261,0.8254830955312031
MobileNetV3Small,GAN,standard,progressive,5,0.833397214769388,0.8324567638270651,0.8324674414748374
MobileNetV3Small,GAN,standard,standard,1,0.9833908266257826,0.98338342339451,0.9833812846773546
MobileNetV3Small,GAN,standard,standard,2,0.9832630637536732,0.9832582831681788,0.9832544102972948
MobileNetV3Small,GAN,standard,standard,3,0.9840296409863294,0.9840183537004936,0.9840156599048951
MobileNetV3Small,GAN,standard,standard,4,0.9832630637536732,0.9832661055103393,0.9832626895105759
MobileNetV3Small,GAN,standard,standard,5,0.9842851667305481,0.9842934036593897,0.9842902585396843
MobileNetV3Small,INDOOR,standard,progressive,1,0.8178101443720455,0.8163505371788843,0.8163564164221837
MobileNetV3Small,INDOOR,standard,progressive,2,0.828158937012904,0.8278825655359955,0.8278812915532625
MobileNetV3Small,INDOOR,standard,progressive,3,0.8308419573272007,0.8296738789651938,0.8296952633489497
MobileNetV3Small,INDOOR,standard,progressive,4,0.8335249776414974,0.8323812006928581,0.8323970561559488
MobileNetV3Small,INDOOR,standard,progressive,5,0.8234317107448575,0.8220593253622237,0.8220512851245877
MobileNetV3Small,INDOOR,standard,standard,1,0.9850517439632043,0.9850568060200497,0.9850527966986856
MobileNetV3Small,INDOOR,standard,standard,2,0.9856905583237511,0.9857056501798291,0.9857012914181615
MobileNetV3Small,INDOOR,standard,standard,3,0.9885013415101571,0.9885029562922915,0.9885007340012962
MobileNetV3Small,INDOOR,standard,standard,4,0.986329372684298,0.9863308321792414,0.9863267416963303
MobileNetV3Small,INDOOR,standard,standard,5,0.9874792385332822,0.9874880575327905,0.9874840041751649
